ID No.,Type,Requirement,Ref / Source ,Page No.,Meet (Yes / No)
1,Size,Max size (LxWxH) to be 28 in x 30 in x 40 in,2.3.4,10,Y
2,Weight,Total max mass including payload to be 5 kg ,12.2.1,20,Y
3,Power,May have no more than 2x 12v batteries,2.2.3,9,N
4,Power,Battery chemistry to be non spillable lead acid,2.2.4,9,Y
5,Motors,No more than 5 motors,4.2.1,15,N
6,Budget,BoM for  COTS  parts to total no more than $500.00,2.5.1,12,Y
7,Size,System can expand upto 4 in on a single side. ,2.3.5,11,Y
8,Power,System must run for 15 minutes. ,1.10.1,3,N
9,,,,,
10,,,,,
